# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.7600  -2.240377881581176e-01  -1.822146971547822e+00  1.660109792960449e+00  9.907687359824350e-01
1.7700  -2.419008268900438e-01  -1.749448900660246e+00  1.530285728010671e+00  1.155059740649055e+00
1.7800  -2.590070156437442e-01  -1.670826448075956e+00  1.395830509795058e+00  1.324197600957495e+00
1.7900  -2.752986329916163e-01  -1.586587873514083e+00  1.258630540190970e+00  1.496021554477449e+00
1.8000  -2.907211514863314e-01  -1.497063503175587e+00  1.120599566270181e+00  1.668334002490308e+00
1.8100  -3.052234518789541e-01  -1.402604426309148e+00  9.836495883510074e-01  1.838931450026528e+00
1.8200  -3.187580238886327e-01  -1.303581109844552e+00  8.496618549717776e-01  2.005635428659345e+00
1.8300  -3.312811527316137e-01  -1.200381936560958e+00  7.204583968109177e-01  2.166322938796150e+00
1.8400  -3.427530906735306e-01  -1.093411672559200e+00  5.977745428443532e-01  2.318955956554139e+00
1.8500  -3.531382129280272e-01  -9.830898700862966e-01  4.832328463331457e-01  2.461609565680027e+00
1.8600  -3.624051572865511e-01  -8.698492120154561e-01  3.783188258219549e-01  2.592498297128253e+00
1.8700  -3.705269469283579e-01  -7.541338045151348e-01  2.843588975562358e-01  2.710000287495308e+00
1.8800  -3.774810959261493e-01  -6.363974246451781e-01  2.025008410475076e-01  2.812678902066546e+00
1.8900  -3.832496970310562e-01  -5.171017297959538e-01  1.336970994789838e-01  2.899301508219281e+00
1.9000  -3.878194913906167e-01  -3.967144360369713e-01  7.869117188006611e-02  2.968855129711084e+00
1.9100  -3.911819199246999e-01  -2.757074725641860e-01  3.800730521386568e-02  3.020558761258539e+00
1.9200  -3.933331561567111e-01  -1.545551195295093e-01  1.194364248639046e-02  3.053872175009857e+00
1.9300  -3.942741203706056e-01  -3.373213660162965e-02  5.689285198555014e-04  3.068501105213263e+00
1.9400  -3.940104750379334e-01  8.628811035617398e-02  3.722818994419630e-03  3.064398753722179e+00
1.9500  -3.925526015330557e-01  2.050355170981115e-01  2.101978163584498e-02  3.041763616073258e+00
1.9600  -3.899155582285223e-01  3.220450959264888e-01  5.185652190515068e-02  3.001033684828206e+00
1.9700  -3.861190201360811e-01  4.368588104203149e-01  9.542281012092634e-02  2.942877142792280e+00
1.9800  -3.811872003316228e-01  5.490273827211077e-01  1.507155334887949e-01  2.868179712735701e+00
1.9900  -3.751487534742521e-01  6.581120662434085e-01  2.165557458675842e-01  2.778028881503856e+00
2.0000  -3.680366618003454e-01  7.636863768139595e-01  2.916084410656165e-01  2.673695264107488e+00
2.0100  -3.598881040426146e-01  8.653377754075749e-01  3.744047327736653e-01  2.556611416790973e+00
2.0200  -3.507443077915867e-01  9.626692958387505e-01  4.633660865753378e-01  2.428348446509736e+00
2.0300  -3.406503858822512e-01  1.055301110985299e+00  5.568302174234034e-01  2.290590797110219e+00
