# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.905929940784511e+01 4.067347688493831e-01 -5.930055235392185e-02
1.915049222797834e+01 4.004457455086804e-01 -7.857864498028694e-02
1.924168504811157e+01 3.924133213903208e-01 -9.752221635219929e-02
1.933287786824480e+01 3.826717767842984e-01 -1.160485644034103e-01
1.942407068837803e+01 3.712629101483557e-01 -1.340755418158378e-01
1.951526350851126e+01 3.582359767019103e-01 -1.515218049583699e-01
1.960645632864449e+01 3.436476010507184e-01 -1.683071351044065e-01
1.969764914877772e+01 3.275616571354686e-01 -1.843528338894459e-01
1.978884196891095e+01 3.100491087783066e-01 -1.995821914369761e-01
1.988003478904418e+01 2.911878044109990e-01 -2.139210219219295e-01
1.997122760917741e+01 2.710622202124452e-01 -2.272982576925195e-01
2.006242042931064e+01 2.497631468537044e-01 -2.396465895869344e-01
2.015361324944387e+01 2.273873163231755e-01 -2.509031379261283e-01
2.024480606957710e+01 2.040369668453684e-01 -2.610101360061217e-01
2.033599888971033e+01 1.798193456610158e-01 -2.699156059139632e-01
2.042719170984356e+01 1.548461513373783e-01 -2.775740052928988e-01
2.051838452997679e+01 1.292329192471430e-01 -2.839468233949236e-01
2.060957735011002e+01 1.030983558057702e-01 -2.890031054501597e-01
2.070077017024325e+01 7.656362890016112e-02 -2.927198860671843e-01
2.079196299037648e+01 4.975162358704142e-02 -2.950825150127250e-01
2.088315581050971e+01 2.278617350517365e-02 -2.960848621991924e-01
2.097434863064294e+01 -4.208720538798066e-03 -2.957293928742371e-01
2.106554145077617e+01 -3.110967273879693e-02 -2.940271086504225e-01
2.115673427090940e+01 -5.779468296392239e-02 -2.909973548938823e-01
2.124792709104263e+01 -8.414388396112554e-02 -2.866674998502012e-01
2.133911991117586e+01 -1.100402538102633e-01 -2.810724954672273e-01
2.143031273130909e+01 -1.353702834542789e-01 -2.742543339418598e-01
2.152150555144232e+01 -1.600245905654154e-01 -2.662614173718025e-01
2.161269837157555e+01 -1.838984727139696e-01 -2.571478603844916e-01
2.170389119170878e+01 -2.068923946958403e-01 -2.469727471527733e-01
2.179508401184201e+01 -2.289124068602124e-01 -2.357993647605307e-01
2.188627683197524e+01 -2.498704932703315e-01 -2.236944344803605e-01
2.197746965210847e+01 -2.696848504447297e-01 -2.107273612507824e-01
2.206866247224170e+01 -2.882800991891586e-01 -1.969695196152831e-01
2.215985529237493e+01 -3.055874335791717e-01 -1.824935917620948e-01
2.225104811250816e+01 -3.215447124428551e-01 -1.673729702504390e-01
2.234224093264139e+01 -3.360964996912763e-01 -1.516812346979986e-01
2.243343375277462e+01 -3.491940605349143e-01 -1.354917083000834e-01
2.252462657290785e+01 -3.607953210060222e-01 -1.188770967016190e-01
2.261581939304108e+01 -3.708647982905349e-01 -1.019092085748718e-01
2.270701221317431e+01 -3.793735091800504e-01 -8.465875436951950e-02
2.279820503330754e+01 -3.862988635139212e-01 -6.719521717195980e-02
2.288939785344077e+01 -3.916245488285407e-01 -4.958678748750291e-02
2.298059067357400e+01 -3.953404116040065e-01 -3.190035207016752e-02
2.307178349370723e+01 -3.974423395376438e-01 -1.420152567975097e-02
2.316297631384046e+01 -3.979321482197445e-01 3.445286160020494e-03
2.325416913397369e+01 -3.968174744787378e-01 2.097680571013181e-02
2.334536195410692e+01 -3.941116775386047e-01 3.833079515890543e-02
2.343655477424015e+01 -3.898337480261870e-01 5.544597424875751e-02
2.352774759437338e+01 -3.840082238131949e-01 7.226195453207504e-02
2.361894041450661e+01 -3.766651107075579e-01 8.871920033762432e-02
2.371013323463984e+01 -3.678398051489569e-01 1.047590251779048e-01
2.380132605477307e+01 -3.575730153386174e-01 1.203236307224600e-01
2.389251887490630e+01 -3.459106766653384e-01 1.353561936385359e-01
2.398371169503953e+01 -3.329038568963419e-01 1.498010035994267e-01
2.407490451517276e+01 -3.186086463969574e-01 1.636036536291956e-01
2.416609733530600e+01 -3.030860286369120e-01 1.767112817441639e-01
2.425729015543923e+01 -2.864017264373163e-01 1.890728606282848e-01
2.434848297557246e+01 -2.686260198095788e-01 2.006395299102932e-01
2.443967579570569e+01 -2.498335318271559e-01 2.113649635705386e-01
2.453086861583892e+01 -2.301029797378442e-01 2.212057631736020e-01
2.462206143597215e+01 -2.095168894456753e-01 2.301218660784939e-01
2.471325425610538e+01 -1.881612725376393e-01 2.380769565968166e-01
2.480444707623861e+01 -1.661252661652553e-01 2.450388673172788e-01
2.489563989637184e+01 -1.435007372727306e-01 2.509799575448972e-01
2.498683271650507e+01 -1.203818538464687e-01 2.558774560487226e-01
2.507802553663830e+01 -9.686462699730682e-02 2.597137560835748e-01
2.516921835677153e+01 -7.304642872960891e-02 2.624766519337521e-01
2.526041117690476e+01 -4.902549115534612e-02 2.641595079776691e-01
2.535160399703799e+01 -2.490039363676971e-02 2.647613534232983e-01
2.544279681717122e+01 -7.695448557886982e-04 2.642868983232781e-01
